sku,check_timestamp,size,previous_source_cost,current_source_cost,previous_retail_price,current_retail_price,change_type,severity,required_action,source_url
MSH-EXP-016,2026-08-30T00:00:00+04:00,XS,,480,,680,Baseline,Info,Monitor daily,https://www.meesho.com/trendy-multicolor-sleeveless-maxi-dress-for-women-stylish-rayon-long-dress-for-casual-party-wear-multy-gown-under-500/p/f27vd6
MSH-EXP-016,2026-08-30T00:00:00+04:00,S-XXXL,,490,,690,Baseline,Info,Monitor daily,https://www.meesho.com/trendy-multicolor-sleeveless-maxi-dress-for-women-stylish-rayon-long-dress-for-casual-party-wear-multy-gown-under-500/p/f27vd6
MSH-EXP-017,2026-08-30T00:00:00+04:00,M,,368,,568,Baseline,Info,Monitor daily,https://www.meesho.com/fancy-printed-round-neck-maxi-gown-with-dupatta-for-women-dress-under-500-gown-under-500/p/f9vl3t
MSH-EXP-017,2026-08-30T00:00:00+04:00,S/L/XL/XXL,,388,,588,Baseline,Info,Monitor daily,https://www.meesho.com/fancy-printed-round-neck-maxi-gown-with-dupatta-for-women-dress-under-500-gown-under-500/p/f9vl3t
MSH-EXP-018,2026-08-30T00:00:00+04:00,XXS,,193,,393,Baseline,Info,Withhold until measurements exist,https://www.meesho.com/womens-trendy-printed-cotton-blend-straight-co-ord-set-pista/p/88i66i
MSH-EXP-018,2026-08-30T00:00:00+04:00,S-XXL,,351,,551,Baseline,Info,Monitor daily,https://www.meesho.com/womens-trendy-printed-cotton-blend-straight-co-ord-set-pista/p/88i66i
MSH-EXP-019,2026-08-30T00:00:00+04:00,S-XXL,,450,,650,Baseline,Info,Monitor daily,https://www.meesho.com/red-cotton-kurti-set-for-women-sleeveless-kurta-pant-set-party-wear-kurta-set-for-women-kurti-set-under-500-2-piece-kurti-set-kurta-palazzo-set-stylish-kurti-set-for-women-cotton-ethnic-dress-for-women/p/f3bvtr
MSH-EXP-020,2026-08-30T00:00:00+04:00,S-XXXL,,482,,682,Baseline,Info,Monitor daily,https://www.meesho.com/georgette-sttiched-anarkali-gown-and-dupatta-white/p/8jonju
MSH-ETH-001,2026-08-31T12:08:00+04:00,S,,269,,469,Baseline,Info,Monitor daily,https://www.meesho.com/women-cotton-printed-round-neck-straight-kurti-black-straight-kurta-for-women-kurti-for-women-single-kurti-for-women-kurta-for-jeans-women-kurta-kurta-under-299-kurti-daily-wear-kurta-ajrakh-print-kurti/p/89ulhd
MSH-ETH-001,2026-08-31T12:08:00+04:00,M,,278,,478,Baseline,Info,Monitor daily,https://www.meesho.com/women-cotton-printed-round-neck-straight-kurti-black-straight-kurta-for-women-kurti-for-women-single-kurti-for-women-kurta-for-jeans-women-kurta-kurta-under-299-kurti-daily-wear-kurta-ajrakh-print-kurti/p/89ulhd
MSH-ETH-001,2026-08-31T12:08:00+04:00,L,,287,,487,Baseline,Info,Monitor daily,https://www.meesho.com/women-cotton-printed-round-neck-straight-kurti-black-straight-kurta-for-women-kurti-for-women-single-kurti-for-women-kurta-for-jeans-women-kurta-kurta-under-299-kurti-daily-wear-kurta-ajrakh-print-kurti/p/89ulhd
MSH-ETH-001,2026-08-31T12:08:00+04:00,XL-6XL,,302,,502,Baseline,Info,Monitor daily,https://www.meesho.com/women-cotton-printed-round-neck-straight-kurti-black-straight-kurta-for-women-kurti-for-women-single-kurti-for-women-kurta-for-jeans-women-kurta-kurta-under-299-kurti-daily-wear-kurta-ajrakh-print-kurti/p/89ulhd
MSH-WES-008,2026-08-31T20:02:00+04:00,M,,279,,479,Baseline,Info,Monitor daily,https://www.meesho.com/stylish-women-fancy-dresses-l-casual-party-wear/p/71w5ym
MSH-WES-008,2026-08-31T20:02:00+04:00,S/L/XL/XXL,,289,,489,Baseline,Info,Monitor daily,https://www.meesho.com/stylish-women-fancy-dresses-l-casual-party-wear/p/71w5ym
